,PassengerId,Survived
0,892,0
1,893,1
2,894,0
3,895,0
4,896,1
5,897,0
6,898,1
7,899,0
8,900,1
9,901,0
10,903,0
11,904,1
12,905,0
13,906,1
14,907,1
15,908,0
16,909,0
17,910,1
18,911,1
19,912,0
20,913,0
21,915,0
22,916,1
23,917,0
24,918,1
25,919,0
26,920,0
27,922,0
28,923,0
29,924,1
30,926,0
31,927,0
32,929,1
33,930,0
34,932,0
35,934,0
36,935,1
37,936,1
38,937,0
39,938,0
40,940,1
41,941,1
42,942,0
43,943,0
44,944,1
45,945,1
46,947,0
47,948,0
48,949,0
49,951,1
50,952,0
51,953,0
52,954,0
53,955,1
54,956,0
55,958,1
56,959,0
57,960,0
58,961,1
59,962,1
60,963,0
61,964,1
62,965,0
63,966,1
64,967,0
65,969,1
66,970,0
67,971,1
68,972,0
69,973,0
70,974,0
71,978,1
72,979,1
73,981,0
74,982,1
75,984,1
76,986,0
77,987,0
78,988,1
79,989,0
80,990,1
81,991,0
82,992,1
83,993,0
84,995,0
85,996,1
86,997,0
87,998,0
88,1001,0
89,1002,0
90,1004,1
91,1005,1
92,1006,1
93,1007,0
94,1009,1
95,1010,0
96,1011,1
97,1012,1
98,1014,1
99,1015,0
100,1017,1
101,1018,0
102,1020,0
103,1021,0
104,1022,0
105,1023,0
106,1026,0
107,1027,0
108,1028,0
109,1029,0
110,1030,1
111,1031,0
112,1032,1
113,1033,1
114,1034,0
115,1035,0
116,1036,0
117,1037,0
118,1039,0
119,1041,0
120,1042,1
121,1045,1
122,1046,0
123,1047,0
124,1048,1
125,1049,1
126,1050,0
127,1051,1
128,1053,0
129,1054,1
130,1056,0
131,1057,1
132,1058,0
133,1059,0
134,1061,1
135,1063,0
136,1064,0
137,1066,0
138,1067,1
139,1068,1
140,1069,0
141,1070,1
142,1071,1
143,1072,0
144,1073,0
145,1074,1
146,1076,1
147,1077,0
148,1078,1
149,1079,0
150,1081,0
151,1082,0
152,1084,0
153,1085,0
154,1086,0
155,1087,0
156,1088,0
157,1089,1
158,1090,0
159,1093,0
160,1094,0
161,1095,1
162,1096,0
163,1098,1
164,1099,0
165,1100,1
166,1101,0
167,1102,0
168,1104,0
169,1105,1
170,1106,1
171,1107,0
172,1109,0
173,1110,1
174,1112,1
175,1113,0
176,1114,1
177,1115,0
178,1116,1
179,1118,0
180,1120,0
181,1121,0
182,1122,0
183,1123,1
184,1124,0
185,1126,0
186,1127,0
187,1128,0
188,1129,0
189,1130,1
190,1131,1
191,1132,1
192,1133,1
193,1134,0
194,1137,0
195,1138,1
196,1139,0
197,1140,1
198,1142,1
199,1143,0
200,1144,0
201,1145,0
202,1146,0
203,1149,0
204,1150,1
205,1151,0
206,1152,0
207,1153,0
208,1154,1
209,1155,1
210,1156,0
211,1161,0
212,1162,0
213,1164,1
214,1167,1
215,1168,0
216,1169,0
217,1170,0
218,1171,0
219,1172,1
220,1173,0
221,1175,1
222,1176,1
223,1177,0
224,1179,0
225,1183,1
226,1185,0
227,1186,0
228,1187,0
229,1188,1
230,1190,0
231,1191,0
232,1192,0
233,1194,0
234,1195,0
235,1197,1
236,1198,0
237,1199,0
238,1200,0
239,1201,1
240,1202,0
241,1203,0
242,1205,1
243,1206,1
244,1207,1
245,1208,0
246,1209,0
247,1210,0
248,1211,0
249,1212,0
250,1213,0
251,1214,0
252,1215,0
253,1216,1
254,1217,0
255,1218,1
256,1219,0
257,1220,0
258,1221,0
259,1222,1
260,1223,0
261,1225,1
262,1226,0
263,1227,0
264,1228,0
265,1229,0
266,1230,0
267,1232,0
268,1233,0
269,1235,1
270,1237,1
271,1238,0
272,1239,1
273,1240,0
274,1241,1
275,1242,1
276,1243,0
277,1244,0
278,1245,0
279,1246,1
280,1247,0
281,1248,1
282,1251,1
283,1252,0
284,1253,1
285,1254,1
286,1255,0
287,1256,1
288,1259,1
289,1260,1
290,1261,0
291,1262,0
292,1263,1
293,1264,0
294,1265,0
295,1266,1
296,1267,1
297,1268,1
298,1269,0
299,1270,0
300,1271,0
301,1273,0
302,1275,1
303,1277,1
304,1278,0
305,1279,0
306,1280,0
307,1281,0
308,1282,0
309,1283,1
310,1284,0
311,1285,0
312,1286,0
313,1287,1
314,1288,0
315,1289,1
316,1290,0
317,1291,0
318,1292,1
319,1293,0
320,1294,1
321,1295,0
322,1296,0
323,1297,0
324,1298,0
325,1299,0
326,1301,1
327,1303,1
328,1304,1
329,1306,1
